"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1992","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","486279","","","","0"
"1993","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","475894","","","","0"
"1994","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","469617","","","","0"
"1995","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","468955","","","","0"
"1996","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","470457","","","","0"
"1997","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","477168","","","","0"
"1998","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","484877","","","","0"
"1999","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","495715","","","","0"
"2000","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","506647","","","","0"
"2001","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","515609","","","","0"
"2002","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","516238","","","","0"
"2003","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","513965","","","","0"
"2004","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","511848","","","","0"
"2005","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","505533","","","","0"
"2006","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","498460","","","","0"
"2007","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","490487","","","","0"
"2008","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","486846","","","","0"
"2009","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","491351","","","","0"
"2010","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","504254","","","","0"
"2011","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","519970","","","","0"
"2012","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","529717","","","","0"
"2013","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","535908","","","","0"
"2014","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","534544","","","","0"
"2015","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","525984","","","","0"
"2016","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","517981","","","","0"
"2017","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","512103","","","","0"
"2018","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","506386","","","","0"
"2019","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","504104","","","","0"
"2020","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","499297","","","","0"
"2021","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","481776","","","","0"
"2022","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","487618","","","","0"
"2023","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","505283","","","","0"
"1990","Quebec","2016A000224","Total - gender","25 to 29 years","Persons","249","units","0","v468351","6.1.37","650935","","","","0"
"1991","Quebec","2016A000224","Total - gender","25 to 29 years","Persons","249","units","0","v468351","6.1.37","627030","","","","0"
"1992","Quebec","2016A000224","Total - gender","25 to 29 years","Persons","249","units","0","v468351","6.1.37","602141","","","","0"
"1993","Quebec","2016A000224","Total - gender","25 to 29 years","Persons","249","units","0","v468351","6.1.37","572113","","","","0"
"1994","Quebec","2016A000224","Total - gender","25 to 29 years","Persons","249","units","0","v468351","6.1.37","542402","","","","0"
"1995","Quebec","2016A000224","Total - gender","25 to 29 years","Persons","249","units","0","v468351","6.1.37","515304","","","","0"
"1996","Quebec","2016A000224","Total - gender","25 to 29 years","Persons","249","units","0","v468351","6.1.37","498650","","","","0"
"1997","Quebec","2016A000224","Total - gender","25 to 29 years","Persons","249","units","0","v468351","6.1.37","484835","","","","0"
"1998","Quebec","2016A000224","Total - gender","25 to 29 years","Persons","249","units","0","v468351","6.1.37","473986","","","","0"
"1999","Quebec","2016A000224","Total - gender","25 to 29 years","Persons","249","units","0","v468351","6.1.37","468840","","","","0"
"2000","Quebec","2016A000224","Total - gender","25 to 29 years","Persons","249","units","0","v468351","6.1.37","468908","","","","0"
"2001","Quebec","2016A000224","Total - gender","25 to 29 years","Persons","249","units","0","v468351","6.1.37","473428","","","","0"
