"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006","Manitoba","2016A000246","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466534","7.2.186","229.6","","","","1"
"2007","Manitoba","2016A000246","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466534","7.2.186","234.6","","","","1"
"2008","Manitoba","2016A000246","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466534","7.2.186","233.2","","","","1"
"2009","Manitoba","2016A000246","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466534","7.2.186","213.7","","","","1"
"2010","Manitoba","2016A000246","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466534","7.2.186","264.3","","","","1"
"2011","Manitoba","2016A000246","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466534","7.2.186","307.4","","","","1"
"2012","Manitoba","2016A000246","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466534","7.2.186","314.2","","","","1"
"2013","Manitoba","2016A000246","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466534","7.2.186","308.1","","","","1"
"2014","Manitoba","2016A000246","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466534","7.2.186","324.8","","","","1"
"2015","Manitoba","2016A000246","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466534","7.2.186","345.4","","","","1"
"2016","Manitoba","2016A000246","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466534","7.2.186","373.0","","","","1"
"2017","Manitoba","2016A000246","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466534","7.2.186","404.6","","","","1"
"2018","Manitoba","2016A000246","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466534","7.2.186","401.8","","","","1"
"2019","Manitoba","2016A000246","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466534","7.2.186","410.0","","","","1"
"2020","Manitoba","2016A000246","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466534","7.2.186","82.8","","","","1"
"2021","Manitoba","2016A000246","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466534","7.2.186","66.6","","","","1"
"2022","Manitoba","2016A000246","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466534","7.2.186","181.2","","","","1"
"1997","Saskatchewan","2016A000247","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466839","8.2.186","64.4","","","","1"
"1998","Saskatchewan","2016A000247","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466839","8.2.186","62.9","","","","1"
"1999","Saskatchewan","2016A000247","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466839","8.2.186","58.5","","","","1"
"2000","Saskatchewan","2016A000247","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466839","8.2.186","50.6","","","","1"
"2001","Saskatchewan","2016A000247","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466839","8.2.186","37.5","","","","1"
"2002","Saskatchewan","2016A000247","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466839","8.2.186","34.9","","","","1"
